ID		Number		Time
100001		1		2019-12-29 15:10:45
100002		3		2019-12-29 20:58:55
100003		42		2019-12-29 21:10:45
100004		42		2019-12-29 22:10:43
100005		42		2019-12-29 23:20:45
100006		42		2019-12-30 23:20:45
100007		53		2019-12-31 0:0:45
100008		53		2019-12-31 1:0:45
100009		53		2019-12-31 2:0:45
100010		513		2019-12-31 3:0:45
100011		534		2019-12-31 5:0:45
100012		5341		2019-12-31 7:0:45
100013		5341		2019-12-31 8:0:45
100014		5341		2019-12-31 9:0:45
100015		5341		2019-12-31 10:0:45
100016		5341		2019-12-31 11:01:45
100017		6661		2019-12-31 12:01:45
100018		6261		2019-12-31 13:01:45
100019		621		2019-12-31 14:01:45
100020		61		2019-12-31 15:01:45
100021		612		2019-12-31 16:01:45
100022		612		2019-12-31 17:01:45
100023		6242		2019-12-31 17:01:45
100024		6242		2019-12-31 18:01:45
100025		65		2019-12-31 19:01:45
100026		65		2019-12-31 20:01:45
100027		8		2019-12-29 22:10:38
100028		10		2019-12-29 22:10:44
100029		7		2019-12-29 22:10:48
100030		4		2019-12-31 09:17:37
100031		2		2019-12-31 09:18:15
100032		3		2019-12-31 09:22:55
100033		2		2019-12-31 14:30:55
100034		2		2019-12-31 15:07:41
100035		2		2019-12-31 15:07:51
100036		6		2020-01-02 08:47:30
100037		6		2020-01-02 08:47:57
100038		0		2020-01-02 08:50:51
100039		2		2020-01-02 08:52:11
100040		2		2020-01-02 08:52:29
100041		4		2020-01-02 08:53:28
100042		4		2020-01-02 08:55:26
100043		0		2020-01-02 08:56:19
100044		4		2020-01-02 08:56:25
100045		0		2020-01-02 08:57:17
100046		2		2020-01-02 08:58:53
100047		0		2020-01-02 09:00:33
100048		2		2020-01-02 09:00:39
100049		2		2020-01-02 09:02:02
100050		12		2020-01-02 09:13:22
100051		6		2020-01-02 09:14:28
100052		1		2020-01-02 09:18:19
100053		1		2020-01-02 09:19:21
100054		1		2020-01-02 09:25:43
100055		1		2020-01-02 09:26:12
100056		2		2020-01-02 09:42:47
100057		1		2020-01-02 09:55:14
100058		5		2020-01-02 09:55:26
100059		5		2020-01-02 10:18:23
100060		5		2020-01-02 10:19:44
100061		5		2020-01-02 10:51:46
100062		1		2020-01-02 10:52:12
100063		5		2020-01-02 14:21:23
100064		1		2020-01-02 14:36:12
100065		0		2020-01-02 14:39:02
100066		0		2020-01-02 14:42:55
100067		1		2020-01-02 14:43:07
100068		0		2020-01-02 14:58:58
100069		1		2020-01-03 09:25:43
100070		0		2020-01-03 09:48:46
100071		1		2020-01-03 09:48:53
100072		2		2020-01-03 09:49:16
100073		0		2020-01-03 09:52:52
100074		1		2020-01-03 09:52:59
100075		1		2020-01-03 09:56:53
100076		0		2020-01-03 09:57:05
100077		0		2020-01-03 09:57:15
100078		1		2020-01-03 09:57:18
100079		1		2020-01-03 09:57:30
100080		2		2020-01-03 14:23:32
100081		2		2020-01-03 14:25:11
100082		1		2020-01-03 14:25:47
100083		1		2020-01-03 14:37:51
100084		1		2020-01-03 14:41:31
100085		0		2020-01-03 14:41:54
100086		1		2020-01-03 15:18:35
100087		0		2020-03-27 21:43:26
100088		0		2020-04-07 15:59:34
